transition_date,transition_hour,number_of_passenger,station_poi_desc_cd
2024-09-01,0,1,HALIC GUNEY
2024-09-01,0,2,SEYRANTEPE 3 STAD GIRISI
2024-09-01,0,2,ATATURK OTO SANAYI KUZEY
2024-09-01,0,1,SISHANE KUZEY
2024-09-01,0,1,OSMANBEY 2 GUNEY
2024-09-01,0,15,TAKSIM GUNEY
2024-09-01,0,1,YENIKAPI GUNEY
2024-09-01,0,1,YENIKAPI GUNEY
2024-09-01,0,326,TAKSIM GUNEY
2024-09-01,0,2,SISLI GUNEY
2024-09-01,0,3,LEVENT GUNEY
2024-09-01,0,1,HALIC KUZEY
2024-09-01,0,1,OSMANBEY KUZEY
2024-09-01,0,8,OSMANBEY 2 GUNEY
2024-09-01,0,2,OSMANBEY KUZEY
2024-09-01,0,1,YENIKAPI GUNEY
2024-09-01,0,3,VEZNECILER KUZEY
2024-09-01,0,1,VEZNECILER GUNEY
2024-09-01,0,25,GAYRETTEPE
2024-09-01,0,43,GAYRETTEPE
2024-09-01,0,1,HALIC KUZEY
2024-09-01,0,12,LEVENT GUNEY
2024-09-01,0,2,SISLI GUNEY
2024-09-01,0,1,SISLI 2 KUZEY
2024-09-01,0,12,HACIOSMAN
2024-09-01,0,2,HACIOSMAN
2024-09-01,0,18,LEVENT GUNEY
2024-09-01,0,1,TAKSIM GUNEY
2024-09-01,0,12,OSMANBEY KUZEY
2024-09-01,0,9,4 LEVENT 2 GUNEY
2024-09-01,0,1,LEVENT GUNEY
2024-09-01,0,64,OSMANBEY KUZEY
2024-09-01,0,5,GAYRETTEPE
2024-09-01,0,1,GAYRETTEPE
2024-09-01,0,1,4 LEVENT KUZEY
2024-09-01,0,18,4 LEVENT KUZEY
2024-09-01,0,1,LEVENT GUNEY
2024-09-01,0,71,HALIC GUNEY
2024-09-01,0,1,4 LEVENT KUZEY
2024-09-01,0,89,SISHANE KUZEY
2024-09-01,0,14,ITU GUNEY
2024-09-01,0,4,VEZNECILER KUZEY
2024-09-01,0,19,YENIKAPI GUNEY
2024-09-01,0,1,SISHANE KUZEY
2024-09-01,0,20,SISLI GUNEY
2024-09-01,0,2,4 LEVENT 2 GUNEY
2024-09-01,0,27,HALIC KUZEY
2024-09-01,0,57,YENIKAPI KUZEY
2024-09-01,0,1,HALIC KUZEY
2024-09-01,0,9,YENIKAPI KUZEY
2024-09-01,0,1,ITU GUNEY
2024-09-01,0,1,SISLI 2 KUZEY
2024-09-01,0,3,YENIKAPI GUNEY
2024-09-01,0,29,TAKSIM GUNEY
2024-09-01,0,1,VEZNECILER KUZEY
2024-09-01,0,3,ITU GUNEY
2024-09-01,0,26,TAKSIM GUNEY
2024-09-01,0,11,OSMANBEY 2 GUNEY
2024-09-01,0,1,4 LEVENT 2 GUNEY
2024-09-01,0,1,VEZNECILER GUNEY
2024-09-01,1,1,TAKSIM GUNEY
2024-09-01,1,1,TAKSIM GUNEY
2024-09-01,1,1,TAKSIM GUNEY
2024-09-01,1,6,SISLI GUNEY
2024-09-01,1,9,TAKSIM GUNEY
2024-09-01,1,3,4 LEVENT 2 GUNEY
2024-09-01,1,7,HALIC KUZEY
2024-09-01,1,2,OSMANBEY KUZEY
2024-09-01,1,11,YENIKAPI GUNEY
2024-09-01,1,3,HALIC GUNEY
2024-09-01,1,33,YENIKAPI KUZEY
2024-09-01,1,7,YENIKAPI GUNEY
2024-09-01,1,19,HALIC GUNEY
2024-09-01,1,33,SISLI 2 KUZEY
2024-09-01,1,2,HACIOSMAN
2024-09-01,1,199,TAKSIM GUNEY
2024-09-01,1,4,OSMANBEY 2 GUNEY
2024-09-01,1,1,YENIKAPI GUNEY
2024-09-01,1,10,TAKSIM GUNEY
2024-09-01,1,6,GAYRETTEPE
2024-09-01,1,1,4 LEVENT 2 GUNEY
2024-09-01,1,6,OSMANBEY KUZEY
2024-09-01,1,1,4 LEVENT KUZEY
2024-09-01,1,1,YENIKAPI KUZEY
2024-09-01,1,7,OSMANBEY 2 GUNEY
2024-09-01,1,2,SANAYI MAH. GUNEY
2024-09-01,1,1,SISLI 2 KUZEY
2024-09-01,1,1,OSMANBEY 2 GUNEY
2024-09-01,1,1,YENIKAPI GUNEY
2024-09-01,1,5,SISHANE KUZEY
2024-09-01,1,3,LEVENT GUNEY
2024-09-01,1,1,4 LEVENT KUZEY
2024-09-01,1,1,ITU GUNEY
2024-09-01,1,1,4 LEVENT 2 GUNEY
2024-09-01,1,53,SISHANE KUZEY
2024-09-01,1,1,YENIKAPI GUNEY
2024-09-01,1,2,LEVENT GUNEY
2024-09-01,1,1,OSMANBEY KUZEY
2024-09-01,1,1,TAKSIM GUNEY
2024-09-01,1,1,SISHANE KUZEY
2024-09-01,1,1,HACIOSMAN
2024-09-01,1,1,4 LEVENT KUZEY
2024-09-01,1,5,GAYRETTEPE
2024-09-01,1,1,SISLI GUNEY
2024-09-01,1,17,YENIKAPI KUZEY
2024-09-01,1,2,SANAYI MAH. GUNEY
2024-09-01,1,3,4 LEVENT KUZEY
2024-09-01,1,1,LEVENT GUNEY
2024-09-01,1,1,HALIC GUNEY
2024-09-01,1,4,SISHANE GUNEY
2024-09-01,1,2,SISHANE GUNEY
2024-09-01,1,1,HALIC KUZEY
2024-09-01,1,1,4 LEVENT 2 GUNEY
2024-09-01,1,1,HALIC KUZEY
2024-09-01,1,1,OSMANBEY 2 GUNEY
2024-09-01,1,17,4 LEVENT KUZEY
2024-09-01,1,2,OSMANBEY KUZEY
2024-09-01,1,12,LEVENT GUNEY
2024-09-01,1,1,DARUSSAFAKA
2024-09-01,1,5,SISHANE KUZEY
2024-09-01,1,3,YENIKAPI KUZEY
2024-09-01,1,17,TAKSIM GUNEY
2024-09-01,1,1,SISHANE GUNEY
2024-09-01,1,1,SANAYI MAH. GUNEY
2024-09-01,1,9,SISLI 2 KUZEY
2024-09-01,1,2,HALIC GUNEY
2024-09-01,1,21,OSMANBEY KUZEY
2024-09-01,1,8,GAYRETTEPE
2024-09-01,1,2,ITU GUNEY
2024-09-01,1,6,VEZNECILER KUZEY
2024-09-01,1,1,YENIKAPI GUNEY
2024-09-01,1,14,SISLI 2 KUZEY
2024-09-01,1,2,GAYRETTEPE
2024-09-01,1,24,SISHANE GUNEY
2024-09-01,1,9,SISHANE KUZEY
2024-09-01,1,2,SANAYI MAH. GUNEY
2024-09-01,2,12,SISLI 2 KUZEY
2024-09-01,2,92,TAKSIM GUNEY
2024-09-01,2,2,OSMANBEY KUZEY
2024-09-01,2,2,SISLI GUNEY
2024-09-01,2,2,YENIKAPI KUZEY
2024-09-01,2,3,ITU GUNEY
2024-09-01,2,1,VEZNECILER KUZEY
2024-09-01,2,3,SANAYI MAH. GUNEY
2024-09-01,2,1,TAKSIM GUNEY
2024-09-01,2,2,TAKSIM GUNEY
2024-09-01,2,2,TAKSIM GUNEY
2024-09-01,2,10,LEVENT GUNEY
2024-09-01,2,3,SISHANE KUZEY
2024-09-01,2,1,YENIKAPI GUNEY
2024-09-01,2,1,SISLI 2 KUZEY
2024-09-01,2,3,SISHANE KUZEY
2024-09-01,2,2,ATATURK OTO SANAYI KUZEY
2024-09-01,2,1,YENIKAPI KUZEY
2024-09-01,2,4,OSMANBEY KUZEY
2024-09-01,2,25,SISHANE KUZEY
2024-09-01,2,2,YENIKAPI KUZEY
2024-09-01,2,1,LEVENT GUNEY
2024-09-01,2,1,HACIOSMAN
2024-09-01,2,1,TAKSIM GUNEY
2024-09-01,2,1,SISLI 2 KUZEY
2024-09-01,2,3,TAKSIM GUNEY
2024-09-01,2,4,4 LEVENT KUZEY
2024-09-01,2,1,YENIKAPI KUZEY
2024-09-01,2,2,SISHANE KUZEY
2024-09-01,2,1,ITU GUNEY
2024-09-01,2,12,HALIC GUNEY
2024-09-01,2,7,YENIKAPI GUNEY
2024-09-01,2,14,YENIKAPI KUZEY
2024-09-01,2,1,SISLI 2 KUZEY
2024-09-01,2,12,OSMANBEY 2 GUNEY
2024-09-01,2,1,OSMANBEY KUZEY
2024-09-01,2,7,VEZNECILER KUZEY
2024-09-01,2,6,SISLI 2 KUZEY
2024-09-01,2,1,GAYRETTEPE
2024-09-01,2,2,YENIKAPI KUZEY
2024-09-01,2,16,YENIKAPI KUZEY
2024-09-01,2,2,GAYRETTEPE
2024-09-01,2,8,TAKSIM GUNEY
2024-09-01,2,1,TAKSIM GUNEY
2024-09-01,2,8,YENIKAPI GUNEY
2024-09-01,2,1,4 LEVENT 2 GUNEY
2024-09-01,2,5,GAYRETTEPE
2024-09-01,2,1,LEVENT GUNEY
2024-09-01,2,12,SISHANE GUNEY
2024-09-01,2,1,HALIC KUZEY
2024-09-01,2,2,TAKSIM GUNEY
2024-09-01,2,3,SISLI GUNEY
2024-09-01,2,1,SISLI GUNEY
2024-09-01,2,4,GAYRETTEPE
2024-09-01,2,3,HALIC KUZEY
2024-09-01,2,1,HALIC GUNEY
2024-09-01,2,3,HALIC GUNEY
2024-09-01,2,13,TAKSIM GUNEY
2024-09-01,2,1,SISLI 2 KUZEY
2024-09-01,2,1,HALIC GUNEY
2024-09-01,3,1,YENIKAPI GUNEY
2024-09-01,3,10,SISLI 2 KUZEY
2024-09-01,3,6,HALIC GUNEY
2024-09-01,3,1,HALIC GUNEY
2024-09-01,3,2,SISHANE KUZEY
2024-09-01,3,1,SISHANE KUZEY
2024-09-01,3,5,OSMANBEY 2 GUNEY
2024-09-01,3,1,ITU GUNEY
2024-09-01,3,2,LEVENT GUNEY
2024-09-01,3,1,TAKSIM GUNEY
2024-09-01,3,1,SISHANE GUNEY
2024-09-01,3,6,ITU GUNEY
2024-09-01,3,1,4 LEVENT KUZEY
2024-09-01,3,3,OSMANBEY KUZEY
2024-09-01,3,8,YENIKAPI GUNEY
2024-09-01,3,1,GAYRETTEPE
2024-09-01,3,1,TAKSIM GUNEY
2024-09-01,3,1,OSMANBEY KUZEY
2024-09-01,3,11,TAKSIM GUNEY
2024-09-01,3,1,SISLI GUNEY
2024-09-01,3,1,HACIOSMAN
2024-09-01,3,1,4 LEVENT 2 GUNEY
2024-09-01,3,1,OSMANBEY 2 GUNEY
2024-09-01,3,2,SANAYI MAH. GUNEY
2024-09-01,3,1,SISLI 2 KUZEY
2024-09-01,3,15,SISHANE KUZEY
2024-09-01,3,3,YENIKAPI KUZEY
2024-09-01,3,1,HACIOSMAN
2024-09-01,3,4,SISLI 2 KUZEY
2024-09-01,3,4,SISHANE GUNEY
2024-09-01,3,1,SISLI 2 KUZEY
2024-09-01,3,1,SISHANE GUNEY
2024-09-01,3,1,VEZNECILER KUZEY
2024-09-01,3,6,GAYRETTEPE
2024-09-01,3,1,4 LEVENT 2 GUNEY
2024-09-01,3,9,TAKSIM GUNEY
2024-09-01,3,1,SISHANE GUNEY
2024-09-01,3,104,TAKSIM GUNEY
2024-09-01,3,1,4 LEVENT 2 GUNEY
2024-09-01,3,3,YENIKAPI GUNEY
2024-09-01,4,8,TAKSIM GUNEY
2024-09-01,4,1,TAKSIM GUNEY
2024-09-01,4,2,SISHANE GUNEY
2024-09-01,4,1,GAYRETTEPE
2024-09-01,4,1,SISHANE GUNEY
2024-09-01,4,1,GAYRETTEPE
2024-09-01,4,1,TAKSIM GUNEY
2024-09-01,4,8,HALIC KUZEY
2024-09-01,4,2,DARUSSAFAKA
2024-09-01,4,1,TAKSIM GUNEY
2024-09-01,4,6,OSMANBEY 2 GUNEY
2024-09-01,4,1,ITU GUNEY
2024-09-01,4,1,OSMANBEY 2 GUNEY
2024-09-01,4,1,SANAYI MAH. GUNEY
2024-09-01,4,3,YENIKAPI GUNEY
2024-09-01,4,75,TAKSIM GUNEY
2024-09-01,4,2,ITU GUNEY
2024-09-01,4,1,SISHANE GUNEY
2024-09-01,4,1,SISLI 2 KUZEY
2024-09-01,4,1,YENIKAPI GUNEY
2024-09-01,4,5,HALIC GUNEY
2024-09-01,4,1,TAKSIM GUNEY
2024-09-01,4,1,OSMANBEY KUZEY
2024-09-01,4,1,YENIKAPI KUZEY
2024-09-01,4,1,TAKSIM GUNEY
2024-09-01,4,3,SISHANE KUZEY
2024-09-01,4,7,SISLI 2 KUZEY
2024-09-01,4,3,SISLI 2 KUZEY
2024-09-01,4,1,HACIOSMAN
2024-09-01,4,1,LEVENT GUNEY
2024-09-01,4,2,TAKSIM GUNEY
2024-09-01,4,2,4 LEVENT KUZEY
2024-09-01,5,1,YENIKAPI GUNEY
2024-09-01,5,2,ITU GUNEY
2024-09-01,5,2,LEVENT GUNEY
2024-09-01,5,3,SISHANE KUZEY
2024-09-01,5,1,SISHANE GUNEY
2024-09-01,5,5,4 LEVENT KUZEY
2024-09-01,5,1,SISLI GUNEY
2024-09-01,5,6,SANAYI MAH. GUNEY
2024-09-01,5,1,VEZNECILER GUNEY
2024-09-01,5,1,4 LEVENT KUZEY
2024-09-01,5,1,TAKSIM GUNEY
2024-09-01,5,7,HACIOSMAN
2024-09-01,5,83,TAKSIM GUNEY
2024-09-01,5,1,SEYRANTEPE 1 BATI
2024-09-01,5,2,OSMANBEY KUZEY
2024-09-01,5,1,DARUSSAFAKA
2024-09-01,5,1,SISHANE KUZEY
2024-09-01,5,1,OSMANBEY 2 GUNEY
2024-09-01,5,2,SISLI 2 KUZEY
2024-09-01,5,1,HALIC KUZEY
2024-09-01,5,2,SISLI GUNEY
2024-09-01,5,1,SEYRANTEPE 1 BATI
2024-09-01,5,2,ITU GUNEY
2024-09-01,5,5,SISLI 2 KUZEY
2024-09-01,5,1,HALIC GUNEY
2024-09-01,5,11,SISLI 2 KUZEY
2024-09-01,5,2,SISLI 2 KUZEY
2024-09-01,5,1,TAKSIM GUNEY
2024-09-01,5,2,4 LEVENT 2 GUNEY
2024-09-01,5,3,HALIC GUNEY
2024-09-01,5,7,4 LEVENT KUZEY
2024-09-01,5,2,YENIKAPI GUNEY
2024-09-01,5,6,TAKSIM GUNEY
2024-09-01,5,12,LEVENT GUNEY
2024-09-01,5,1,LEVENT GUNEY
2024-09-01,5,1,SEYRANTEPE 3 STAD GIRISI
2024-09-01,5,1,YENIKAPI KUZEY
2024-09-01,5,1,YENIKAPI GUNEY
2024-09-01,5,2,LEVENT GUNEY
2024-09-01,5,1,TAKSIM GUNEY
2024-09-01,5,1,VEZNECILER GUNEY
2024-09-01,5,15,OSMANBEY 2 GUNEY
2024-09-01,5,1,TAKSIM GUNEY
2024-09-01,5,11,SISLI 2 KUZEY
2024-09-01,5,1,SEYRANTEPE 3 STAD GIRISI
2024-09-01,5,10,SISHANE KUZEY
2024-09-01,5,2,YENIKAPI GUNEY
2024-09-01,5,7,TAKSIM GUNEY
2024-09-01,5,4,YENIKAPI KUZEY
2024-09-01,5,1,SISLI 2 KUZEY
2024-09-01,5,1,4 LEVENT 2 GUNEY
2024-09-01,5,1,OSMANBEY 2 GUNEY
2024-09-01,5,1,4 LEVENT 2 GUNEY
2024-09-01,5,1,SISLI GUNEY
2024-09-01,5,1,YENIKAPI GUNEY
2024-09-01,5,2,LEVENT GUNEY
2024-09-01,5,2,SANAYI MAH. KUZEY
2024-09-01,5,2,VEZNECILER KUZEY
2024-09-01,5,1,DARUSSAFAKA
2024-09-01,5,3,GAYRETTEPE
2024-09-01,5,3,GAYRETTEPE
2024-09-01,6,1,OSMANBEY KUZEY
2024-09-01,6,13,LEVENT GUNEY
2024-09-01,6,1,ITU GUNEY
2024-09-01,6,1,SISHANE KUZEY
2024-09-01,6,2,GAYRETTEPE
2024-09-01,6,1,SISHANE GUNEY
2024-09-01,6,4,SISHANE GUNEY
2024-09-01,6,1,VEZNECILER GUNEY
2024-09-01,6,62,YENIKAPI GUNEY
2024-09-01,6,1,SISLI 2 KUZEY
2024-09-01,6,17,YENIKAPI KUZEY
2024-09-01,6,14,SEYRANTEPE 1 BATI
2024-09-01,6,1,SISLI 2 KUZEY
2024-09-01,6,1,YENIKAPI GUNEY
2024-09-01,6,1,OSMANBEY 2 GUNEY
2024-09-01,6,17,HACIOSMAN
2024-09-01,6,1,4 LEVENT 2 GUNEY
2024-09-01,6,13,OSMANBEY KUZEY
2024-09-01,6,1,LEVENT GUNEY
2024-09-01,6,26,TAKSIM GUNEY
2024-09-01,6,2,4 LEVENT KUZEY
2024-09-01,6,1,SISHANE GUNEY
2024-09-01,6,1,OSMANBEY 2 GUNEY
2024-09-01,6,25,4 LEVENT KUZEY
2024-09-01,6,2,HALIC GUNEY
2024-09-01,6,16,HACIOSMAN
2024-09-01,6,4,ATATURK OTO SANAYI KUZEY
2024-09-01,6,16,SANAYI MAH. GUNEY
2024-09-01,6,1,YENIKAPI GUNEY
2024-09-01,6,8,HALIC GUNEY
2024-09-01,6,1,ITU GUNEY
2024-09-01,6,1,YENIKAPI GUNEY
2024-09-01,6,8,SANAYI MAH. KUZEY
2024-09-01,6,1,YENIKAPI GUNEY
2024-09-01,6,18,LEVENT 2 KUZEY
2024-09-01,6,3,SANAYI MAH. KUZEY
2024-09-01,6,8,SISHANE GUNEY
2024-09-01,6,1,SEYRANTEPE 2 DOGU
2024-09-01,6,1,YENIKAPI GUNEY
2024-09-01,6,1,OSMANBEY 2 GUNEY
2024-09-01,6,4,SISLI 2 KUZEY
2024-09-01,6,2,DARUSSAFAKA
2024-09-01,6,3,LEVENT 2 KUZEY
2024-09-01,6,1,LEVENT 2 KUZEY
2024-09-01,6,1,4 LEVENT KUZEY
2024-09-01,6,1,SISLI GUNEY
2024-09-01,6,4,SISLI GUNEY
2024-09-01,6,1,4 LEVENT KUZEY
2024-09-01,6,1,TAKSIM GUNEY
2024-09-01,6,2,VEZNECILER GUNEY
2024-09-01,6,2,DARUSSAFAKA
2024-09-01,6,40,4 LEVENT KUZEY
2024-09-01,6,58,LEVENT GUNEY
2024-09-01,6,3,OSMANBEY 2 GUNEY
2024-09-01,6,14,LEVENT GUNEY
2024-09-01,6,9,GAYRETTEPE
2024-09-01,6,1,SEYRANTEPE 3 STAD GIRISI
2024-09-01,6,1,HALIC KUZEY
2024-09-01,6,1,TAKSIM GUNEY
2024-09-01,6,8,4 LEVENT KUZEY
2024-09-01,6,9,OSMANBEY 2 GUNEY
2024-09-01,6,1,TAKSIM GUNEY
2024-09-01,6,6,HALIC GUNEY
2024-09-01,6,6,4 LEVENT 2 GUNEY
2024-09-01,6,22,HACIOSMAN
2024-09-01,6,6,SEYRANTEPE 2 DOGU
2024-09-01,6,48,YENIKAPI GUNEY
2024-09-01,6,20,SISLI 2 KUZEY
2024-09-01,6,5,SEYRANTEPE 1 BATI
2024-09-01,6,8,4 LEVENT 2 GUNEY
2024-09-01,6,1,LEVENT GUNEY
2024-09-01,6,70,SISLI 2 KUZEY
2024-09-01,6,2,HACIOSMAN
2024-09-01,6,6,VEZNECILER KUZEY
2024-09-01,6,10,DARUSSAFAKA
2024-09-01,6,4,VEZNECILER GUNEY
2024-09-01,6,1,YENIKAPI KUZEY
2024-09-01,6,2,ITU GUNEY
2024-09-01,6,8,SISLI GUNEY
2024-09-01,6,5,LEVENT 2 KUZEY
2024-09-01,6,19,SISHANE GUNEY
2024-09-01,6,5,TAKSIM GUNEY
2024-09-01,6,17,OSMANBEY 2 GUNEY
2024-09-01,6,1,SEYRANTEPE 3 STAD GIRISI
2024-09-01,6,1,SANAYI MAH. GUNEY
2024-09-01,6,1,GAYRETTEPE
2024-09-01,6,1,HALIC KUZEY
2024-09-01,6,1,HALIC GUNEY
2024-09-01,6,3,ATATURK OTO SANAYI GUNEY
2024-09-01,6,15,SISLI GUNEY
2024-09-01,6,1,HALIC KUZEY
2024-09-01,6,20,YENIKAPI GUNEY
2024-09-01,6,22,YENIKAPI KUZEY
2024-09-01,6,1,GAYRETTEPE
2024-09-01,6,1,HACIOSMAN
2024-09-01,6,4,YENIKAPI KUZEY
2024-09-01,6,2,TAKSIM GUNEY
2024-09-01,6,5,SEYRANTEPE 1 BATI
2024-09-01,6,35,4 LEVENT 2 GUNEY
2024-09-01,6,45,GAYRETTEPE
2024-09-01,6,2,SANAYI MAH. GUNEY
2024-09-01,6,1,TAKSIM GUNEY
2024-09-01,6,1,4 LEVENT KUZEY
2024-09-01,6,5,OSMANBEY KUZEY
2024-09-01,6,1,SISLI 2 KUZEY
2024-09-01,6,2,ITU KUZEY
2024-09-01,6,140,TAKSIM GUNEY
2024-09-01,6,8,ITU KUZEY
2024-09-01,6,13,VEZNECILER GUNEY
2024-09-01,6,8,LEVENT GUNEY
2024-09-01,6,9,SISHANE KUZEY
2024-09-01,6,61,SISLI 2 KUZEY
2024-09-01,6,29,OSMANBEY 2 GUNEY
2024-09-01,6,6,TAKSIM GUNEY
2024-09-01,6,25,YENIKAPI GUNEY
2024-09-01,6,5,SANAYI MAH. KUZEY
2024-09-01,6,17,4 LEVENT 2 GUNEY
2024-09-01,6,1,YENIKAPI GUNEY
2024-09-01,6,1,HACIOSMAN
2024-09-01,6,107,SISLI 2 KUZEY
2024-09-01,6,1,SISHANE KUZEY
2024-09-01,6,29,GAYRETTEPE
2024-09-01,6,1,VEZNECILER KUZEY
2024-09-01,6,1,VEZNECILER GUNEY
2024-09-01,6,1,TAKSIM GUNEY
2024-09-01,6,1,VEZNECILER GUNEY
2024-09-01,6,1,OSMANBEY 2 GUNEY
2024-09-01,6,7,SISLI GUNEY
2024-09-01,6,1,YENIKAPI GUNEY
2024-09-01,6,10,HALIC GUNEY
2024-09-01,6,1,SISLI GUNEY
2024-09-01,6,1,SANAYI MAH. GUNEY
2024-09-01,6,2,HALIC GUNEY
2024-09-01,6,1,SANAYI MAH. KUZEY
2024-09-01,6,3,VEZNECILER KUZEY
2024-09-01,6,6,4 LEVENT 2 GUNEY
2024-09-01,6,1,4 LEVENT KUZEY
2024-09-01,6,8,ITU GUNEY
2024-09-01,6,39,YENIKAPI KUZEY
2024-09-01,7,8,TAKSIM GUNEY
2024-09-01,7,50,4 LEVENT KUZEY
2024-09-01,7,62,OSMANBEY 2 GUNEY
2024-09-01,7,1,SEYRANTEPE 2 DOGU
2024-09-01,7,24,HACIOSMAN
2024-09-01,7,1,HACIOSMAN
2024-09-01,7,24,ITU GUNEY
2024-09-01,7,6,DARUSSAFAKA
2024-09-01,7,10,SISLI 2 KUZEY
2024-09-01,7,46,4 LEVENT 2 GUNEY
2024-09-01,7,2,SEYRANTEPE 2 DOGU
2024-09-01,7,15,VEZNECILER GUNEY
2024-09-01,7,18,OSMANBEY 2 GUNEY
2024-09-01,7,4,ATATURK OTO SANAYI GUNEY
2024-09-01,7,1,ITU KUZEY
2024-09-01,7,22,LEVENT GUNEY
2024-09-01,7,1,YENIKAPI GUNEY
2024-09-01,7,6,4 LEVENT 2 GUNEY
2024-09-01,7,7,ITU KUZEY
2024-09-01,7,49,LEVENT 2 KUZEY
2024-09-01,7,30,OSMANBEY KUZEY
2024-09-01,7,2,LEVENT 2 KUZEY
2024-09-01,7,23,LEVENT GUNEY
2024-09-01,7,2,HALIC KUZEY
2024-09-01,7,2,HALIC GUNEY
2024-09-01,7,2,TAKSIM GUNEY
2024-09-01,7,1,VEZNECILER KUZEY
2024-09-01,7,1,SISLI 2 KUZEY
2024-09-01,7,27,SISLI GUNEY
2024-09-01,7,1,TAKSIM GUNEY
2024-09-01,7,1,ITU KUZEY
2024-09-01,7,1,SISHANE GUNEY
2024-09-01,7,2,OSMANBEY 2 GUNEY
2024-09-01,7,7,VEZNECILER GUNEY
2024-09-01,7,4,OSMANBEY KUZEY
2024-09-01,7,3,SISLI GUNEY
2024-09-01,7,1,LEVENT GUNEY
2024-09-01,7,8,SANAYI MAH. KUZEY
2024-09-01,7,6,SANAYI MAH. GUNEY
2024-09-01,7,1,SANAYI MAH. KUZEY
2024-09-01,7,1,ITU GUNEY
2024-09-01,7,5,OSMANBEY KUZEY
2024-09-01,7,1,ATATURK OTO SANAYI GUNEY
2024-09-01,7,1,SISLI 2 KUZEY
2024-09-01,7,1,ATATURK OTO SANAYI KUZEY
2024-09-01,7,51,YENIKAPI KUZEY
2024-09-01,7,12,OSMANBEY 2 GUNEY
2024-09-01,7,7,4 LEVENT KUZEY
2024-09-01,7,1,TAKSIM GUNEY
2024-09-01,7,1,HALIC GUNEY
2024-09-01,7,25,GAYRETTEPE
2024-09-01,7,1,YENIKAPI GUNEY
2024-09-01,7,5,TAKSIM GUNEY
2024-09-01,7,1,4 LEVENT 2 GUNEY
2024-09-01,7,10,LEVENT 2 KUZEY
2024-09-01,7,2,OSMANBEY KUZEY
2024-09-01,7,16,HALIC GUNEY
2024-09-01,7,4,SANAYI MAH. KUZEY
2024-09-01,7,6,GAYRETTEPE
2024-09-01,7,3,ITU GUNEY
2024-09-01,7,2,4 LEVENT KUZEY
2024-09-01,7,15,SEYRANTEPE 1 BATI
